NEIGHBORHOOD,BUILDING_CLASS_CATEGORY,TAX_CLASS_AT_PRESENT,BLOCK,LOT,BUILDING_CLASS_PRESENT,ADDRESS,ZIP_CODE,RESIDENTIAL_UNITS,COMMERCIAL_UNITS,TOTAL_UNITS,LAND_SQUARE_FEET,GROSS_SQUARE_FEET,YEAR_BUILT,TAX_CLASS_AT_TIME_OF_SALE,BUILDING_CLASS_AT_TIME_OF_SALE,SALES
                         ,13  CONDOS - ELEVATOR APARTMENTS            ,  ,738,1306,  , 345 WEST 14TH   STREET                    ,10014,0,0,0,0,0,0,2, R4 ,2214693.0
                         ,13  CONDOS - ELEVATOR APARTMENTS            ,  ,738,1307,  , 345 WEST 14TH   STREET                    ,10014,0,0,0,0,0,0,2, R4 ,1654656.0
                         ,13  CONDOS - ELEVATOR APARTMENTS            ,  ,738,1308,  , 345 WEST 14TH   STREET                    ,10014,0,0,0,0,0,0,2, R4 ,1069162.0
                         ,13  CONDOS - ELEVATOR APARTMENTS            ,  ,738,1309,  , 345 WEST 14TH   STREET                    ,10014,0,0,0,0,0,0,2, R4 ,1374637.0
                         ,13  CONDOS - ELEVATOR APARTMENTS            ,  ,738,1310,  , 345 WEST 14TH   STREET                    ,10014,0,0,0,0,0,0,2, R4 ,1649565.0
                         ,13  CONDOS - ELEVATOR APARTMENTS            ,  ,738,1311,  , 345 WEST 14TH   STREET                    ,10014,0,0,0,0,0,0,2, R4 ,1705568.0
                         ,13  CONDOS - ELEVATOR APARTMENTS            ,  ,738,1312,  , 345 WEST 14TH   STREET                    ,10014,0,0,0,0,0,0,2, R4 ,2036500.0
                         ,13  CONDOS - ELEVATOR APARTMENTS            ,  ,738,1314,  , 345 WEST 14TH   STREET                    ,10014,0,0,0,0,0,0,2, R4 ,2214693.0
                         ,13  CONDOS - ELEVATOR APARTMENTS            ,  ,738,1317,  , 345 WEST 14TH   STREET                    ,10014,0,0,0,0,0,0,2, R4 ,2418343.0
                         ,13  CONDOS - ELEVATOR APARTMENTS            ,  ,738,1318,  , 345 WEST 14TH   STREET                    ,10014,0,0,0,0,0,0,2, R4 ,2749275.0
                         ,13  CONDOS - ELEVATOR APARTMENTS            ,  ,738,1319,  , 345 WEST 14TH   STREET                    ,10014,0,0,0,0,0,0,2, R4 ,2189237.0
                         ,13  CONDOS - ELEVATOR APARTMENTS            ,  ,738,1320,  , 345 WEST 14TH   STREET                    ,10014,0,0,0,0,0,0,2, R4 ,2291062.0
