NEIGHBORHOOD,BUILDING_CLASS_CATEGORY,TAX_CLASS_AT_PRESENT,BLOCK,LOT,BUILDING_CLASS_PRESENT,ADDRESS,ZIP_CODE,RESIDENTIAL_UNITS,COMMERCIAL_UNITS,TOTAL_UNITS,LAND_SQUARE_FEET,GROSS_SQUARE_FEET,YEAR_BUILT,TAX_CLASS_AT_TIME_OF_SALE,BUILDING_CLASS_AT_TIME_OF_SALE,SALES,SALE_DATE
ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,374,1,C7, 303 EAST 4TH STREET                       ,10009.0,8,2.0,10,"1,501","6,929",1900.0,2, C7 ,0,2013-05-02
ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,385,1,C7, 17 AVENUE B                               ,10009.0,7,1.0,8,"2,093","5,852",1997.0,2, C7 ,283,2013-04-18
ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,397,33,C7, 14 AVENUE B                               ,10009.0,25,2.0,27,"3,574","18,212",1925.0,2, C7 ,13185684,2013-01-31
ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,398,52,C7, 174 EAST 2ND   STREET                     ,10009.0,9,1.0,10,"2,226","5,250",1900.0,2, C7 ,0,2013-07-01
ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,398,52,C7, 174 EAST 2ND   STREET                     ,10009.0,9,1.0,10,"2,226","5,250",1900.0,2, C7 ,0,2012-10-26
ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,398,53,C7, 170 EAST 2ND   STREET                     ,10009.0,36,3.0,39,"4,452","17,664",1900.0,2, C7 ,0,2013-07-01
ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,398,53,C7, 170 EAST 2ND STREET                       ,10009.0,36,3.0,39,"4,452","17,664",1900.0,2, C7 ,3810602,2012-10-26
ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,400,56,C4, 203 EAST 4TH STREET                       ,10009.0,10,1.0,10,"2,404","6,975",1900.0,2, C4 ,7333333,2013-09-04
ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,400,57,C4, 201 EAST 4TH STREET                       ,10009.0,9,1.0,9,"2,404","6,875",1900.0,2, C4 ,7333333,2013-09-04
ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,400,58,C4, 199 EAST 4TH STREET                       ,10009.0,9,1.0,10,"2,404","7,110",1900.0,2, C4 ,7333333,2013-09-04
ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,400,60,C4, 195 EAST FOURTH STREET                    ,10009.0,18,2.0,18,"2,404","8,975",1913.0,2, C4 ,7000000,2013-09-04
ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,404,4,C7, 500 EAST 11 STREET                        ,10009.0,25,2.0,27,"3,020","15,162",1920.0,2, C7 ,12603963,2013-01-31
ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,405,10,C7, 504 EAST 12TH   STREET                    ,10009.0,28,2.0,30,"3,872","15,428",1930.0,2, C7 ,8892981,2013-01-31
ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,405,12,C7, 508 EAST 12TH   STREET                    ,10009.0,28,2.0,30,"3,872","15,428",1930.0,2, C7 ,9528194,2013-01-31
ALPHABET CITY            ,08  RENTALS - ELEVATOR APARTMENTS           ,2,399,1,D6, 42 AVENUE A                               ,10009.0,35,5.0,40,"7,212","28,633",1995.0,2, D6 ,0,2012-06-11
ALPHABET CITY            ,08  RENTALS - ELEVATOR APARTMENTS           ,2,404,48,D1, 315 EAST 10TH   STREET                    ,10009.0,12,1.0,12,"2,369","9,348",1920.0,2, D1 ,9600000,2013-07-05
ALPHABET CITY            ,08  RENTALS - ELEVATOR APARTMENTS           ,2,406,48,D9, 531 EAST 12TH   STREET                    ,10009.0,26,1.0,27,"5,163","29,960",2009.0,2, D9 ,0,2012-09-13
ALPHABET CITY            ,11A CONDO-RENTALS                           ,2,377,1202,RR, 101 AVENUE D                              ,10009.0,61,1.0,62,"15,153","54,461",2010.0,2, RR ,0,2013-07-02
ALPHABET CITY            ,14  RENTALS - 4-10 UNIT                     ,2A,377,7,S3, 122 AVENUE C                              ,10009.0,3,1.0,4,"1,260","3,290",1910.0,2, S3 ,0,2012-12-19
ALPHABET CITY            ,14  RENTALS - 4-10 UNIT                     ,2A,387,133,S3, 650 EAST 6TH   STREET                     ,10009.0,3,1.0,4,"1,940","4,140",1920.0,2, S3 ,2800000,2013-07-19
ALPHABET CITY            ,14  RENTALS - 4-10 UNIT                     ,2A,387,133,S3, 650 EAST 6TH   STREET                     ,10009.0,3,1.0,4,"1,940","4,140",1920.0,2, S3 ,0,2013-07-19
ALPHABET CITY            ,14  RENTALS - 4-10 UNIT                     ,2A,391,33,S4, 137 AVENUE C                              ,10009.0,4,1.0,5,"1,500","3,540",1900.0,2, S4 ,2450000,2013-02-22
ALPHABET CITY            ,14  RENTALS - 4-10 UNIT                     ,2A,393,4,S4, 165 AVENUE B                              ,10009.0,4,1.0,5,"2,201","5,608",1900.0,2, S4 ,3800000,2012-04-12
ALPHABET CITY            ,16  CONDOS - 2-10 UNIT WITH COMMERCIAL UNIT ,2C,406,1101,R8, 525 EAST 12TH   STREET                    ,10009.0,0,1.0,1,0,0,2007.0,2, R8 ,0,2012-12-15
ALPHABET CITY            ,22  STORE BUILDINGS                         ,4,378,32,K1, 127 AVENUE D                              ,10009.0,0,1.0,1,"2,186","2,186",1910.0,4, K1 ,1800000,2012-12-28
ALPHABET CITY            ,22  STORE BUILDINGS                         ,4,392,39,K9, 647 EAST 9 STREET                         ,10009.0,3,1.0,4,"2,307","4,656",1950.0,4, K9 ,0,2012-12-28
ALPHABET CITY            ,22  STORE BUILDINGS                         ,4,402,3,K2, 98 AVENUE A                               ,10009.0,0,1.0,1,"8,100","16,200",1925.0,4, K2 ,15500000,2013-01-05
ALPHABET CITY            ,29  COMMERCIAL GARAGES                      ,4,384,33,G4, 11 AVENUE C                               ,10009.0,0,1.0,1,"5,893","1,419",1961.0,4, G4 ,7000000,2012-06-09
ALPHABET CITY            ,37  RELIGIOUS FACILITIES                    ,4,387,34,M1, 67 AVENUE C                               ,10009.0,0,1.0,1,"2,160","3,050",1951.0,4, M1 ,2400000,2013-07-18
ALPHABET CITY            ,37  RELIGIOUS FACILITIES                    ,4,392,4,M1, 149 AVENUE B                              ,10009.0,2,1.0,3,"2,139","6,440",1900.0,4, M1 ,4650000,2012-12-20
